SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CCN,-0.15,-0.17,-0.3
CC#N,-0.15,-0.32,0.04
CC=O,-0.17,-0.32,-0.18
ClCCl,1.34,1.36,1.07
FCF,0.71,0.84,0.48
ICI,2.35,2.23,2.3
NC=O,-1.19,-1.03,-0.78
S=C=S,0.23,-0.05,1.65
C1CC1,0.68,1.88,1.37
C1CO1,-0.05,-0.56,-0.13
BrC(Br)Br,1.79,2.42,2.23
CC(C)Br,2.08,2.03,1.72
ClC(Cl)Br,1.61,2.03,1.82
CC(C)C,2.23,2.73,1.99
CC(C)Cl,2,1.82,1.57
CC(C)I,2.5,2.23,2.25
CC(C)N,0.27,0.35,0.08
CC(Cl)Cl,1.76,1.82,1.25
C=C(Cl)Cl,2.12,1.67,1.69
CC(F)F,1.13,1.36,0.66
C=C(F)F,1.24,1.22,1.11
FC(Cl)Cl,1.21,1.6,1.42
FC(F)Cl,0.89,1.36,1.22
FC(F)F,0.58,1.11,1.03
CN(C)C,0.04,0.35,0.32
C[N+](=O)[O-],-0.04,-0.58,0.29
CC1CO1,0.37,-0.05,0.25
FC(F)(F)Br,1.59,1.82,2.83
CC(C)(C)N,0.72,0.8,0.28
CC(C)(C)O,0.73,0.8,0.57
FC(Cl)(Cl)Cl,2.13,2.03,3.3
FC(F)(Cl)Cl,1.82,1.82,3.01
FC(F)(F)Cl,1.5,1.6,2.72
FC(F)(F)F,1.19,1.36,2.44
C[Si](C)(C)C,2.72,1.82,1.93
OCC(Br)(Br)Br,1.48,1.77,1.85
CCC(C)(C)C,3.18,3.52,2.65
CC(C)(C)CO,1.22,1.21,1.11
CCC(C)(C)O,1.22,1.21,1.1
O=CC(Cl)(Cl)Cl,1.19,1.06,1.5
OCC(F)(F)F,0.27,0.58,0.65
CC(=O)C(C)(C)C,1.13,1.44,1.3
CC(C)(C)C(=O)O,1.45,1,1.32
CC(Cl)(Cl)C(=O)O,1.68,1,0.9
ClC(Cl)C(Cl)(Cl)Cl,3.11,2.96,2.89
O=C(O)C(Cl)(Cl)Cl,1.44,1,1.45
O=[N+]([O-])C(Cl)(Cl)Cl,1.32,1.04,3.29
FC(F)(Cl)C(F)(Cl)Cl,3.09,2.78,2.79
FC(F)(Cl)C(F)(F)Cl,2.78,2.6,2.59
FC(F)(F)C(F)(F)F,2.16,2.23,2.2
CC12CCC(CC1=O)C2(C)C,2.68,2.36,1.94
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.43,1.91,1.09
COC(F)(F)C(Cl)Cl,2.02,1.59,2.14
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,-0.06,0.88,0.78
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,2.55,3.2,2.5
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,5.86,5.12,4.24
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,2.3,1.9,1.64
C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,2.22,1.27,1.16
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,2.55,1.35,1.97
CCCC(C)C1(CC)C(=O)N=C(O)NC1=O,0.99,1.16,2.57
CCCC(C)C1(CC)C(=O)N=C(S)NC1=O,2.4,2.72,3.19
CCC1(C(C)C)C(=O)NC(=O)NC1=O,1.21,0.57,1
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,6.1,5.62,5.48
OC(c1ccccc1)(c1ccccc1)c1ccccc1,4.38,4.38,4.28
O=C(O)C(O)(c1ccccc1)c1ccccc1,2.24,2.41,2.36
CC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.58,0.9,0.86
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.17,4.1,4.32
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,1.57,0.78,1.06
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,1.51,1.93,0.42
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,4.09,3.4,3.42
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,4.12,3.36,3.96
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,5.34,4.01,4.54
CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,3.45,2.77,2.69
CCC1(c2ccccc2)CCC(=O)NC1=O,1.52,1.92,2.03
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,2.93,1.33,2.87
CCCCC1(CC)C(=O)NC(=O)NC1=O,1.78,0.87,1.66
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.76,1.44,2.57
CCC1(CC)C(=O)NC(=S)NC1=O,1.17,0.23,1.64
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,1.01,1.9,1.51
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.33,3.56,3.5
CCC(Br)(CC)C(=O)NC(N)=O,0.58,1.28,1.47
CCC1(C)CC(=O)NC1=O,0.99,0.39,0.54
CC1(C)NC(=O)NC1=O,1.09,-0.34,-0.36
CCOP(=O)(C#N)N(C)C,-0.51,-0.35,-0.38
O=C(O)CC(O)(CC(=O)O)C(=O)O,-2.27,-1.17,-1.4
CCC(CO)(CO)CO,-0.81,-0.13,-0.62
C#CC1(O)CCCCC1,2.08,1.74,2.55
CCOP(=O)(CC)OCC,0.89,0.94,0.54
CCOP(=O)(OCC)OCC,0.87,1.35,0.7
CCCCSP(=O)(SCCCC)SCCCC,5.75,3.32,5.87
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3,2.44,3.24
CC1=CC(=O)CC(C)(C)C1,2.33,1.95,2.06
CCO[Si](C)(C)OCC,1.57,0.71,2.32
CC(C)(C#N)N=NC(C)(C)C#N,1.82,0.21,1.26
C=CC(C)(O)CCC=C(C)C,3.38,2.64,2.74
C=CC(=C)C,2.58,1.97,1.86
CC(C)CN,0.76,0.8,0.54
CC(C)C#N,0.76,0.65,1.17
CC(C)CO,0.77,0.8,0.83
CCC(C)Cl,2.49,2.23,2.1
CC(Cl)CCl,2.25,2.23,1.89
CCC(C)O,0.77,0.8,0.89
CCC(C)=O,0.26,0.65,0.42
CC(O)CN,-1.19,-0.53,-0.81
CC(O)C#N,-1.19,-0.68,-0.04
ClCC(Cl)Cl,2.01,2.23,1.96
ClC=C(Cl)Cl,2.47,2.08,1.74
CCC(N)=O,-0.67,-0.27,-0.17
C=CC(N)=O,-0.81,-0.38,-0.13
NC(=O)CCl,-0.91,-0.27,-0.09
O=C(O)CBr,0.43,0.37,0.66
CCC(=O)O,0.58,0.13,0.44
C=CC(=O)O,0.44,0.03,0.47
O=C(O)CCl,0.34,0.13,0.52
O=C(O)CO,-1.07,-1.22,-0.69
CNC(C)=O,-0.7,-0.27,-0.63
COC(C)=O,0.37,0.13,0.02
CC[N+](=O)[O-],0.45,0.06,0.64
CC(C)C(C)C,3.14,3.52,2.7
CC(C)C(=O)O,1,0.59,0.9
ClC(Cl)C(Cl)Cl,2.19,2.6,2.4
C=C(C)C(N)=O,-0.26,0.07,0.31
C=C(C)C(=O)O,0.99,0.48,0.91
O=C(O)C(Cl)Cl,0.52,0.59,0.96
CC(C)[N+](=O)[O-],0.87,0.58,1.02
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-5,-2.38,-2.11
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4.16,3.31,3.73
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.77,1.66,1.44
Cc1ccc(S(=O)(=O)N(C)N=O)cc1,0.92,1.46,1.73
NNS(=O)(=O)c1ccccc1,-1.13,0.84,0.55
CC(=O)OC(C)(C)C1CC=C(C)CC1,4.34,2.75,2.79
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,0.2,1.1,1.53
CCOS(=O)(=O)c1ccc(C)cc1,2.32,1.84,2.04
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,5.88,4.31,5.37
CC1=CCC2CC1C2(C)C,4.61,3.37,2.87
CCC(Br)C(=O)O,1.34,1.19,1.56
CCC(N)C(=O)O,-2.5,-0.25,-0.08
C=C(C)C(=O)OC,1.28,0.89,1.17
CN(C)C(=N)N(C)C,-0.27,0.57,-0.3
Nc1c(S(=O)(=O)O)ccc2ccccc12,-0.91,1.44,0.96
O=C1NS(=O)(=O)c2ccccc21,0.45,0.43,0.36
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,-3.63,0.93,0.25
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,4.31,3.28,3.73
Nc1ccc2ccccc2c1S(=O)(=O)O,-0.91,1.44,0.96
Cc1cccc(C)c1[N+](=O)[O-],2.91,2.48,2.7
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,3.86,3.28,2.89
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.53,2.67,2.66
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1.[Cl-],-,-,-
OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,4,3.43,3.95
O=C1c2ccccc2-c2cccc3cccc1c23,4.73,3.91,3.92
O=C(O)C1c2ccccc2Oc2ccccc21,2.99,2.41,2.69
CNc1cccc2c1C(=O)c1ccccc1C2=O,2.97,2.04,2.84
Nc1cccc2c1C(=O)c1ccccc1C2=O,2.43,1.79,2.24
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,2.95,3.33,4.09
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.03,4.2,5.05
O=C1C(=O)c2cccc3cccc1c23,1.24,1.9,2.2
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.99,4.29,4.29
O=C1c2ccccc2C(=O)C1c1ccccc1,2.38,2.61,2.82
O=C1CCC(=O)N1c1ccccc1,0.64,1.07,0.99
c1cc2c3c(cccc3c1)CC2,4.15,3.96,3.34
Cc1c[nH]c2ccccc12,2.6,2.07,2.61
Cc1cccc(C(=O)O)c1O,3.91,1.47,1.65
Cc1cccc([N+](=O)[O-])c1C,2.91,2.48,2.7
Cc1c(Cl)cccc1[N+](=O)[O-],3,2.75,2.88
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,5.4,4.07,4.06
Cn1ccc(=O)c2ccccc21,1.84,1.49,1.57
Oc1cccc2c(O)cccc12,2.21,2.02,2.2
Cn1cnc2c1c(=O)[nH]c(=O)n2C,0.55,-0.13,-0.31
O=C1C=C(O)C(=O)c2ccccc21,0.78,0.57,1.19
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,5.17,1.79,3.93
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-0.34,-1.36,-0.39
Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.65,3.5,3.87
CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21,6.17,4.23,5.44
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.48,2.96,4.21
O=C1C(=O)c2ccccc2-c2ccccc21,1.82,2.36,2.81
CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,4.38,2.86,3.93
O=C1c2ccccc2C(=O)c2ccccc21,3.34,2.36,2.99
CCOC(=O)c1ccccc1C(=O)OCC,2.65,2.58,2.24
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,4.46,3.62,3.92
CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.61,3.62,4.2
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,6.57,4.56,6.02
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,10.5,7.15,9.67
O=S(=O)(O)c1ccc(O)c2ccccc12,-0.47,1.44,1.43
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,4.96,3.5,4.52
CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,4.13,2.73,4.03
c1ccc2c(c1)ccc1ccccc12,4.34,4.25,3.65
c1ccc2c(c1)ccc1ncccc12,3.16,2.97,2.92
Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,0.86,0.06,0.57
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,3.36,3.48,3.46
O=C1NC(=O)c2ccccc21,0.82,0.84,0.66
O=C1OC(=O)c2ccccc21,1.83,1.66,1.3
COc1c(N)cccc1[N+](=O)[O-],0.97,1.09,0.96
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,4.84,4.09,4.45
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,3.88,2.88,3.91
COc1cc([N+](=O)[O-])c2ncccc2c1,1.88,1.61,1.89
CCn1c2ccccc2c2ccccc21,4.27,3.31,3.88
O=NN(c1ccccc1)c1ccccc1,3.63,3.22,3.24
CCN1C(=O)NC(c2ccccc2)C1=O,2.33,1.37,1.22
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],-,-,-
COP(=S)(OC)SCn1nnc2ccccc2c1=O,4,0.64,2.93
NNc1nncc2ccccc12,-1.22,1.52,0.81
O=C(O)c1cccc2ccccc12,3.05,2.78,2.34
CN(C)c1cccc2ccccc12,3.35,3.21,2.9
O=[N+]([O-])c1cccc2ccccc12,2.99,2.94,2.63
c1ccc2c(c1)Cc1ccccc1-2,4.25,4.15,3.49
c1ccc2c(c1)[nH]c1ccccc12,3.23,2.78,3.32
COc1cc(C=O)cc(OC)c1OC,1.95,0.73,1.54
O=C(O)Cc1cccc2ccccc12,2.6,2.79,2.38
NC(=S)Nc1cccc2ccccc12,2.13,2.37,2.55
O=c1[nH]c(=O)c2ccccc2[nH]1,1.39,0.85,0.56
Clc1ccc2c(Cl)ccnc2c1,3.27,3.2,3.35
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,1.36,1.33,1.33
O=C(Nc1ccccc1)c1ccccc1O,3.3,2.54,2.35
CCOC(=O)c1ccccc1N,1.4,1.78,1.29
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,0.57,-0.3,0.53
COc1c(Cl)cc(Cl)cc1Cl,4.01,3.62,3.81
O=C1OCc2ccccc21,1.77,1.77,1.44
O=C(O)Cc1c[nH]c2ccccc12,1.49,1.38,1.76
Clc1cccc(Cl)c1Cl,3.93,4.06,3.82
Cc1cccc(C)c1N,2.17,2.19,2.06
Cc1cccc(Cl)c1O,2.7,2.46,2.71
Oc1c(Cl)cccc1Cl,2.8,2.73,2.89
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.72,3.66,3.63
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,7.33,6,6.32
ClC1C(Br)C(Br)C(Br)C(Br)C1Br,4.71,4.76,4.89
Cc1c(C)c(C)c(C)c(C)c1C,5.28,4.13,4.75
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.74,3.91,4.88
CCOC(=O)C(O)C(O)C(=O)OCC,-1.28,-0.44,-0.3
Cc1cc(O)cc(C)c1Cl,3.25,2.78,3.2
Oc1c(Cl)cc(Cl)cc1Cl,3.45,3.31,3.56
CCC(CC)C(=O)O,1.98,1.37,1.81
C=CN1CCCC1=O,0.25,0.47,-0.08
O=C(O)c1ccsc1,1.69,0.67,1.1
O=C(O)c1ccco1,1.24,-0.17,0.83
CC(=O)c1cccs1,1.49,0.85,1.52
FC(F)(F)c1ccccc1Cl,3.6,3.95,3.44
Nc1ccccc1C(F)(F)F,2.04,2.62,2.03
CC(C)(C)c1ccccc1O,3.42,2.81,2.96
Cc1ccccc1S(N)(=O)=O,0.92,1.18,1.14
Nc1ccc(S(=O)(=O)O)c(N)c1,-3,-0.23,-0.7
O=C(O)c1ccccc1Br,2.76,2.46,2.18
O=C(O)c1ccccc1I,3.04,2.62,2.01
NC(=O)c1ccccc1N,-0.18,0.73,0.09
CC(C)c1ccccc1O,2.97,2.51,2.76
Cc1ccccc1[N+](=O)[O-],2.36,2.15,2.21
O=[N+]([O-])c1ccccc1Cl,2.46,2.42,2.39
Nc1ccccc1[N+](=O)[O-],0.89,1.26,0.98
O=[N+]([O-])c1ccccc1O,1.33,1.26,1.46
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.1,2.53,3
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0.97,1.28,1.25
NC(=O)c1ccccc1C(N)=O,-0.52,0.57,-0.17
O=C(O)c1ccccc1C(=O)O,1.41,1.38,1.04
O=C1NC(=O)C(c2ccccc2)N1,1.63,0.77,0.67
CC(=O)Nc1ccccc1C(=O)O,0.98,1.3,0.55
O=C(O)c1cc(Br)ccc1O,4.25,1.89,1.92
Cc1ccc(O)c(C(=O)O)c1,3.91,1.47,1.65
Cc1ccc(Cl)cc1[N+](=O)[O-],3,2.75,2.88
O=[N+]([O-])c1cc(Cl)ccc1Cl,3.1,3.02,3.05
Nc1ccc(Cl)cc1[N+](=O)[O-],1.54,1.88,1.64
O=[N+]([O-])c1cc(Cl)ccc1O,1.97,1.88,2.12
Cc1cc(O)c(C(C)C)cc1Cl,4.16,3.37,3.91
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,3.74,3.6,3.72
COC(=O)c1ccccc1C,2.38,2.35,2.17
CCC(C)c1ccccc1O,3.46,2.81,3.21
CC1CCC(C(C)C)C(O)C1,3.38,2.5,2.78
CC1=CC(=O)C(C(C)C)CC1,2.78,2.25,2.77
CC(C)=C1CCC(C)CC1=O,2.91,2.25,2.75
Cc1ccc(C(C)C)c(O)c1,3.52,2.81,3.24
O=C(O)c1ccc(O)cc1O,2.88,0.59,0.9
O=Cc1ccccc1Cl,2.35,2.1,2.25
CCc1ccccc1O,2.55,2.19,2.5
OCc1ccccc1O,0.6,0.98,0.96
O=Cc1ccccc1O,2.01,0.89,1.32
COc1ccccc1N,1.16,1.25,1.07
COc1ccccc1O,1.59,1.25,1.55
Cc1cccc2ccccc12,3.72,3.68,3.22
Clc1cccc2ccccc12,3.81,3.95,3.4
Oc1cccc2ccccc12,2.69,2.64,2.47
O=c1nn[nH]c2ccccc12,2.74,0.92,1.21
c1ccc(Nc2cccc3ccccc23)cc1,4.47,4.28,4.29
Cc1cc(=O)oc2cc(O)ccc12,1.88,1.73,2.08
Nc1ccccc1-c1ccccc1,2.84,3.13,2.6
Oc1ccccc1-c1ccccc1,3.28,3.13,3.08
O=C1c2ccccc2Cc2ccccc21,4.04,3.31,3.47
Nc1c2ccccc2nc2ccccc12,2.24,2.36,2.61
O=c1c2ccccc2oc2ccccc12,3.84,2.17,3.06
O=C(O)C(O)c1ccccc1,0.2,0.93,0.92
CNC(C)C(O)c1ccccc1,0.68,1.66,1.23
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,3.91,2.88,3.65
OC(c1ccccc1)c1ccccc1,2.71,3.13,2.84
O=C(c1ccccc1)c1ccccn1,2.36,1.51,2.6
COc1cccc(OC)c1O,1.67,1.01,1.53
N#Cc1ccccc1C#N,1.09,0.87,1.59
COc1ccccc1OC,2.15,1.58,1.8
c1cnc2ncncc2n1,-0.94,-0.24,-0.29
c1ccc2nccnc2c1,1.12,0.87,1.29
c1ccc2ccccc2c1,3.17,3.39,2.74
c1ccc2ncccc2c1,1.98,2.07,2.02
COc1ccccc1[N+](=O)[O-],1.89,1.61,1.71
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,1.71,2.06,2.3
O=C(O)c1ccccc1Nc1ccccc1,3.17,2.95,2.98
Cc1ccc(C(C)C)c(OCCN(C)C)c1,3.77,3.04,3.63
Cc1[nH]c2ccccc2c1C,3.15,2.37,2.76
O=C1Nc2ccccc2C1=O,-0.64,0.44,0.67
Cc1ccc2ccccc2c1,3.72,3.68,3.22
Clc1ccc2ccccc2c1,3.81,3.95,3.4
Nc1ccc2ccccc2c1,2.25,2.64,1.99
Cc1ccc2ncccc2c1,2.53,2.37,2.5
Cc1ccc2ccccc2n1,2.53,2.37,2.3
O=c1ccc2ccccc2o1,1.81,2,1.9
CCN(CC)c1ccccc1,3.15,2.81,2.69
Nc1nc(N)nc(-c2ccccc2)n1,1.44,1.66,1.11
CN(C)CCN(Cc1cccs1)c1ccccn1,2.21,2.04,3.06
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,2.47,2.17,3.09
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,3.21,3.59,3.18
CC(=O)CC(=O)Nc1ccc(-c2ccc(NC(=O)CC(C)=O)c(C)c2)cc1C,2.88,2.24,2.1
CCC1C(=O)OCC1Cc1cncn1C,1.34,1.54,0.97
c1ccc2cc3cc4ccccc4cc3cc2c1,5.52,5.09,4.56
O=C1CCN(c2ccccc2)N1,0.77,1.26,0.99
Oc1cc2ccccc2cc1O,2.21,2.02,2.2
CCN(CCO)c1ccccc1,1.69,1.93,1.8
c1ccc(-c2ccccc2)cc1,3.76,3.88,3.35
c1ccc(N2CCOCC2)cc1,1.78,1.27,1.68
c1ccc(N2CCNCC2)cc1,1.54,1.27,1.41
CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,1.24,1.15,1.06
Nc1ccc2cc3ccc(N)cc3nc2c1,1.32,1.79,1.86
Brc1ccc(-c2ccccc2)cc1,4.65,4.55,4.1
Nc1ccc(-c2ccccc2)cc1,2.84,3.13,2.6
Oc1ccc(-c2ccccc2)cc1,3.28,3.13,3.08
O=C(O)c1cc2ccccc2cc1O,4.54,2.21,2.08
c1ccc(-c2cnc(-c3ccccc3)o2)cc1,4.07,2.63,3.46
c1ccc2nc3ccccc3nc2c1,2.29,1.82,3.06
c1ccc2c(c1)Cc1ccccc1O2,4.54,3.13,3.53
c1ccc2c(c1)Nc1ccccc1S2,3.34,2.86,3.67
c1ccc2c(c1)Sc1ccccc1S2,3.86,3.88,4.24
Brc1ccc(-c2ccc(Br)cc2)cc1,5.54,5.2,4.85
Nc1ccc(-c2ccc(N)cc2)cc1,1.92,2.51,1.86
O=C(O)c1ccc(-c2ccccc2)cc1,3.64,3.25,2.95
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,3.57,3.43,3.24
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,5.52,5.16,4.87
COc1ccc(OC)c(C=O)c1,1.87,0.97,1.56
COc1ccc2ccccc2c1,3.25,2.93,2.72
COc1ccc(C(=O)O)cc1OC,2.04,1.24,1.4
O=C(O)c1ccc2ccccc2c1,3.05,2.78,2.34
COc1ccccc1OCC(O)CO,0.54,0.56,0.75
COc1ccccc1NC(C)=O,1.18,1.38,0.93
CCC(=O)c1ccccc1,2.16,2.15,2.24
COC(=O)c1ccccc1,1.83,2.03,1.69
COC(=O)c1cccnc1,0.64,0.47,0.53
CN(C=O)c1ccccc1,1.62,2.03,1.21
Cc1cc(Cl)ccc1OC(C)C(=O)O,2.94,2.38,3.01
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,3.68,3.19,3.85
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,3.26,2.91,3.48
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,5.02,3.99,5.06
CCOC(=O)c1ccccc1,2.32,2.35,2.03
O=C(OC(=O)c1ccccc1)c1ccccc1,3.59,3.68,3.13
O=C(Nc1ccccc1)c1ccccc1,3,3.11,2.61
O=C(Oc1ccccc1)c1ccccc1,3.04,3.52,3.26
CCOC(=O)CC(=O)c1ccccc1,1.71,1.76,1.95
CNCC(O)c1ccc(O)cc1,-0.21,0.79,0.59
CCOC(=O)c1ccc(N)cc1,1.8,1.78,1.29
CCCOC(=O)c1ccc(N)cc1,2.29,2.09,1.81
CCCOC(=O)c1ccc(O)cc1,2.33,2.09,2.29
O=C(OCc1ccccc1)c1ccc(O)cc1,3.06,2.95,3
CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0.93,0.97,1.51
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.01,2.24,2.06
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,3.02,2.64,3
CCCCOC(=O)c1ccc(N)cc1,2.78,2.38,2.27
CCCCOC(=O)c1ccc(O)cc1,2.82,2.38,2.75
O=C(OCCO)c1ccccc1,0.85,1.51,1.15
O=C(OOC(=O)c1ccccc1)c1ccccc1,4.25,3.68,3.17
O=C(C=Cc1ccccc1)c1ccccc1,3.97,3.49,3.7
O=C(OCc1ccccc1)c1cccnc1,2.35,2.02,2.12
CC(C)CCOC(=O)c1ccccc1,3.72,3.23,3.27
O=C(OCCc1ccccc1)c1ccccc1,4.03,3.77,3.59
CCOc1ccccc1O,2.08,1.58,1.89
Cc1cc(Cl)ccc1OCC(=O)O,2.52,2.09,2.63
O=C(O)COc1ccc(Cl)cc1Cl,2.62,2.35,2.81
O=C(O)CCCOc1ccc(Cl)cc1Cl,3.6,2.93,3.17
ClCc1ccc(Cl)cc1Cl,4.08,4.1,3.76
C1=Cc2ccccc2C1,3.25,3.17,2.44
c1ccc2[nH]nnc2c1,1.17,0.97,1.43
c1ccc2sccc2c1,2.99,2.77,2.69
c1ccc2scnc2c1,2.17,1.41,1.91
Cc1cc2ccccc2[nH]1,2.6,2.07,2.27
CC(C)(C)NSc1nc2ccccc2s1,2.56,2.05,3.82
Cc1ccccc1C,3.09,2.94,2.8
Cc1ccccc1O,2.06,1.86,2.05
Cc1ccccc1Cl,3.18,3.21,2.98
Clc1ccccc1Cl,3.28,3.48,3.16
Nc1ccccc1Cl,1.72,2.13,1.75
Cc1ccccc1N,1.62,1.86,1.57
Nc1ccccc1N,0.16,0.89,0.34
Nc1ccccc1O,0.6,0.89,0.82
Oc1ccccc1Br,2.4,2.3,2.31
Oc1ccccc1Cl,2.16,2.13,2.23
NC1CC1c1ccccc1,0.54,1.85,1.19
Cc1ccc(C)c(C)c1,3.63,3.26,3.29
Cc1ccc(N)cc1C,2.17,2.19,2.06
Cc1ccc(O)cc1C,2.61,2.19,2.53
Cc1ccc(N)c(C)c1,2.17,2.19,2.06
Cc1cc(O)ccc1O,1.58,1.25,1.78
Cc1ccc(C)c(Cl)c1,3.73,3.53,3.47
Cc1ccc(Cl)cc1Cl,3.83,3.79,3.64
Cc1ccc(Cl)c(Cl)c1,3.83,3.79,3.64
Nc1ccc(Cl)c(Cl)c1,2.37,2.73,2.41
Oc1ccc(Cl)c(Cl)c1,2.8,2.73,2.89
Cc1ccc(C)c(N)c1,2.17,2.19,2.06
Cc1ccc(N)cc1N,0.71,1.25,0.82
Nc1cc(Cl)ccc1Cl,2.37,2.73,2.41
Nc1ccc(Cl)cc1N,0.8,1.51,1
Cc1ccc(O)c(N)c1,1.14,1.25,1.3
Nc1cc(Cl)ccc1O,1.24,1.51,1.48
Cc1ccc(C)c(O)c1,2.61,2.19,2.53
Oc1ccc(Cl)c(O)c1,1.68,1.51,1.96
Cc1cnc(C)c(Cl)n1,1.68,0.59,0.97
CCOC(=O)C(=O)OCC,0.4,0.43,0.72
Cc1cc(C)c(C)cc1C,4.18,3.56,3.77
Clc1cc(Cl)c(Cl)cc1Cl,4.57,4.63,4.49
