Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
123,Molecule 123,O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C,4.13 (EXPERIMENTAL value),5.43,4.13 (EXPERIMENTAL value),2.64,4.13 (EXPERIMENTAL value),3.86
124,Molecule 124,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl,1.14 (EXPERIMENTAL value),0.69,1.14 (EXPERIMENTAL value),1.14,1.14 (EXPERIMENTAL value),1.02
125,Molecule 125,OCC(O)CO,-1.76 (EXPERIMENTAL value),-2.25,-1.76 (EXPERIMENTAL value),-1.37,-1.76 (EXPERIMENTAL value),-1.41
126,Molecule 126,O=C(O)CC(N)C(=O)O,-3.89 (EXPERIMENTAL value),-4.32,-3.89 (EXPERIMENTAL value),-1.14,-3.89 (EXPERIMENTAL value),-1.25
127,Molecule 127,O=C(O)C(N)CCC(=O)N,-3.64 (EXPERIMENTAL value),-4.49,-3.64 (EXPERIMENTAL value),-1.14,-3.64 (EXPERIMENTAL value),-1.53
128,Molecule 128,O=C(O)CCC(N)C(=O)O,-3.69 (EXPERIMENTAL value),-3.83,-3.69 (EXPERIMENTAL value),-0.73,-3.69 (EXPERIMENTAL value),-0.92
129,Molecule 129,O=C(O)C(N)CCCCN,-3.05 (EXPERIMENTAL value),-2.99,-3.05 (EXPERIMENTAL value),-0.27,-3.05 (EXPERIMENTAL value),-0.68
130,Molecule 130,O=C(O)C(N)CSSCC(N)C(=O)O,-5.08 (EXPERIMENTAL value),-4.34,-5.08 (EXPERIMENTAL value),-1.13,-5.08 (EXPERIMENTAL value),-0.88
131,Molecule 131,O=C(O)c1ccc(cc1)CN,1.03 (EXPERIMENTAL value),0.95,1.03 (EXPERIMENTAL value),1.2,1.03 (EXPERIMENTAL value),0.54
132,Molecule 132,[Cl-].C[N+](C)(C)Cc1ccccc1,[Error],-,[Error],-,[Error],-
133,Molecule 133,O=C(O)CCCCCCCCCCCCCCC,7.17 (EXPERIMENTAL value),6.96,7.17 (EXPERIMENTAL value),5.21,7.17 (EXPERIMENTAL value),6.37
134,Molecule 134,O=C(O)CCCCCCCCCCCCCCCCC,8.23 (EXPERIMENTAL value),7.94,8.23 (EXPERIMENTAL value),5.69,8.23 (EXPERIMENTAL value),7.28
135,Molecule 135,O=C(N)N,-2.11 (EXPERIMENTAL value),-1.56,-2.11 (EXPERIMENTAL value),-1.46,-2.11 (EXPERIMENTAL value),-1.04
136,Molecule 136,OC(C)(C)C(Cl)(Cl)Cl,2.03 (EXPERIMENTAL value),2.09,2.03 (EXPERIMENTAL value),1.94,2.03 (EXPERIMENTAL value),1.82
137,Molecule 137,O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67),1.93 (EXPERIMENTAL value),2.12,1.93 (EXPERIMENTAL value),2.64,1.93 (EXPERIMENTAL value),1.15
138,Molecule 138,Oc5ccc4c1c5(OC2C(O)C=CC3C(N(C)CCC123)C4),0.89 (EXPERIMENTAL value),1.74,0.89 (EXPERIMENTAL value),1.66,0.89 (EXPERIMENTAL value),1.39
139,Molecule 139,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,3.08 (LOW reliability),3.08,2.2 (GOOD reliability),2.2,2.11 (GOOD reliability),2.11
140,Molecule 140,O=C(OCC)C2(c1ccccc1)(CCN(C)CC2),2.72 (EXPERIMENTAL value),3.03,2.72 (EXPERIMENTAL value),2.52,2.72 (EXPERIMENTAL value),2.45
141,Molecule 141,O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C,2.07 (EXPERIMENTAL value),2.19,2.07 (EXPERIMENTAL value),1.16,2.07 (EXPERIMENTAL value),1.91
142,Molecule 142,O=C1NC(=O)C(C(=O)N1)(CC)CC,0.65 (EXPERIMENTAL value),0.79,0.65 (EXPERIMENTAL value),0.25,0.65 (EXPERIMENTAL value),0.74
143,Molecule 143,O=C(Oc1ccc2c(c1)C3(C)(CCN(C)C3(N2C)))NC,1.58 (EXPERIMENTAL value),1.23,1.58 (EXPERIMENTAL value),2.41,1.58 (EXPERIMENTAL value),2.35
144,Molecule 144,OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O),-3.7 (EXPERIMENTAL value),-0.36,-3.7 (EXPERIMENTAL value),-3.9,-3.7 (EXPERIMENTAL value),-4.31
145,Molecule 145,O=C(OCC(C)(COC(=O)N)CCC)N,0.7 (EXPERIMENTAL value),0.98,0.7 (EXPERIMENTAL value),1.5,0.7 (EXPERIMENTAL value),1.27
146,Molecule 146,OCC(O)C,-0.92 (EXPERIMENTAL value),-0.78,-0.92 (EXPERIMENTAL value),-0.53,-0.92 (EXPERIMENTAL value),-0.52
147,Molecule 147,O=C(N)C=3C(=O)C4(O)(C(O)=C2C(=O)c1c(O)ccc(c1C(O)(C)C2CC4(C(C=3(O))N(C)C))Cl),-3.3 (LOW reliability),-3.3,-1.17 (LOW reliability),-1.17,-0.45 (LOW reliability),-0.45
148,Molecule 148,C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C))),3.67 (EXPERIMENTAL value),5.07,3.67 (EXPERIMENTAL value),4,3.67 (EXPERIMENTAL value),4.86
149,Molecule 149,O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC,3.21 (EXPERIMENTAL value),2.89,3.21 (EXPERIMENTAL value),2.38,3.21 (EXPERIMENTAL value),2.81
150,Molecule 150,O=S(=O)(NC(=N)N)c1ccc(N)cc1,-1.07 (LOW reliability),-1.07,0.22 (MODERATE reliability),0.22,-0.51 (MODERATE reliability),-0.51
151,Molecule 151,O=S(=O)(Nc1nc(cc(n1)C)C)c2ccc(N)cc2,0.89 (EXPERIMENTAL value),0.76,0.89 (EXPERIMENTAL value),1.47,0.89 (EXPERIMENTAL value),1.39
152,Molecule 152,C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,6.16 (EXPERIMENTAL value),6.26,6.16 (EXPERIMENTAL value),5.47,6.16 (EXPERIMENTAL value),4.79
153,Molecule 153,O=C4C=C3CCC1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4,3.87 (EXPERIMENTAL value),3.72,3.87 (EXPERIMENTAL value),4.05,3.87 (EXPERIMENTAL value),3.58
154,Molecule 154,O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCS(=O)c4ccccc4,2.3 (EXPERIMENTAL value),3.33,2.3 (EXPERIMENTAL value),3.23,2.3 (EXPERIMENTAL value),3.43
155,Molecule 155,c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C,5.8 (EXPERIMENTAL value),6.62,5.8 (EXPERIMENTAL value),5.55,5.8 (EXPERIMENTAL value),5.53
156,Molecule 156,Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4,2.3 (EXPERIMENTAL value),2.9,2.3 (EXPERIMENTAL value),2.96,2.3 (EXPERIMENTAL value),3.07
157,Molecule 157,O=C2c1c(ncn1C)N(C(=O)N2C)C,0.76 (MODERATE reliability),0.76,0.2 (GOOD reliability),0.2,-0.1 (GOOD reliability),-0.1
158,Molecule 158,n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N,2.69 (EXPERIMENTAL value),2.41,2.69 (EXPERIMENTAL value),2.64,2.69 (EXPERIMENTAL value),2.75
159,Molecule 159,O=C2C(=C(N(N2(c1ccccc1))C)C)N(C)C,1.71 (LOW reliability),1.71,1.51 (LOW reliability),1.51,1.38 (LOW reliability),1.38
160,Molecule 160,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4,3.36 (EXPERIMENTAL value),3.78,3.36 (EXPERIMENTAL value),3.92,3.36 (EXPERIMENTAL value),3.54
161,Molecule 161,O=C2CC3CCC1C4CCC(O)C4(C)(CCC1C3(C)(CC2C)),3.99 (EXPERIMENTAL value),3.83,3.99 (EXPERIMENTAL value),4.03,3.99 (EXPERIMENTAL value),3.62
162,Molecule 162,O=C4C=C3CCC1C(CCC2(C)(C(O)CCC12))C3(C)CC4,3.32 (EXPERIMENTAL value),3.32,3.32 (EXPERIMENTAL value),3.7,3.32 (EXPERIMENTAL value),3.33
163,Molecule 163,[O-][N+]2=C(c1ccccc1)c3cc(ccc3(N=C(NC)C2))Cl,0.37 (LOW reliability),0.37,2.95 (GOOD reliability),2.95,1.16 (LOW reliability),1.16
164,Molecule 164,O=C1C=C(C(=O)c2ccccc12)C,2.2 (EXPERIMENTAL value),2.21,2.2 (EXPERIMENTAL value),1.7,2.2 (EXPERIMENTAL value),2.2
165,Molecule 165,c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)CN(C)C,4.76 (EXPERIMENTAL value),3.68,4.76 (EXPERIMENTAL value),2.9,4.76 (EXPERIMENTAL value),4.18
166,Molecule 166,c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN4CCN(C)CC4,4.88 (EXPERIMENTAL value),4.78,4.88 (EXPERIMENTAL value),3.22,4.88 (EXPERIMENTAL value),4.7
167,Molecule 167,OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)Cl,4.2 (EXPERIMENTAL value),3.8,4.2 (EXPERIMENTAL value),2.63,4.2 (EXPERIMENTAL value),4.16
168,Molecule 168,c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C,4.55 (EXPERIMENTAL value),4.55,4.55 (EXPERIMENTAL value),3.26,4.55 (EXPERIMENTAL value),4.08
169,Molecule 169,O=C2c1[nH]cnc1N(C(=O)N2C)C,-0.03 (EXPERIMENTAL value),0.22,-0.03 (EXPERIMENTAL value),-0.13,-0.03 (EXPERIMENTAL value),-0.31
170,Molecule 170,OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),-1.11 (EXPERIMENTAL value),-2.95,-1.11 (EXPERIMENTAL value),-1.24,-1.11 (EXPERIMENTAL value),-2.02
171,Molecule 171,Oc3ncnc1c3(ncn1C2OC(CO)C(O)C2(O)),-3.37 (LOW reliability),-3.37,-1.24 (GOOD reliability),-1.24,-1.54 (MODERATE reliability),-1.54
172,Molecule 172,O(CCN(C)C)C(c1ccccc1)c2ccccc2,3.27 (EXPERIMENTAL value),3.11,3.27 (EXPERIMENTAL value),3.26,3.27 (EXPERIMENTAL value),3.38
173,Molecule 173,n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3,2.95 (EXPERIMENTAL value),4.56,2.95 (EXPERIMENTAL value),2.44,2.95 (EXPERIMENTAL value),3.5
174,Molecule 174,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",[Error],-,[Error],-,[Error],-
175,Molecule 175,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,4.45 (EXPERIMENTAL value),4.09,4.45 (EXPERIMENTAL value),3.62,4.45 (EXPERIMENTAL value),4.22
176,Molecule 176,O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O),-0.07 (EXPERIMENTAL value),-1.12,-0.07 (EXPERIMENTAL value),0.53,-0.07 (EXPERIMENTAL value),0.39
177,Molecule 177,O=S(=O)(N)c2cc1c(N=CNS1(=O)(=O))cc2Cl,-1.61 (LOW reliability),-1.61,0.45 (MODERATE reliability),0.45,0.08 (MODERATE reliability),0.08
178,Molecule 178,O=C1C=CN(C(=O)N1)C2OC(CO)C(O)C2(O),-1.86 (MODERATE reliability),-1.86,-1.71 (MODERATE reliability),-1.71,-2.45 (LOW reliability),-2.45
179,Molecule 179,O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O,-1.85 (EXPERIMENTAL value),-1.99,-1.85 (EXPERIMENTAL value),0.38,-1.85 (EXPERIMENTAL value),0.38
180,Molecule 180,O=C(O)c1ccc(N)cc1(OCC),0.99 (EXPERIMENTAL value),1.53,0.99 (EXPERIMENTAL value),1.24,0.99 (EXPERIMENTAL value),1.02
181,Molecule 181,O=C1NC(=O)N(C=C1Br)C2OC(CO)C(O)C2,-0.29 (EXPERIMENTAL value),-1.35,-0.29 (EXPERIMENTAL value),-0.51,-0.29 (EXPERIMENTAL value),-1.23
182,Molecule 182,O=C(c1cnccc1)N(CC)CC,0.33 (EXPERIMENTAL value),1.21,0.33 (EXPERIMENTAL value),1.02,0.33 (EXPERIMENTAL value),0.79
183,Molecule 183,O=C1C=Cc2ccccc2(N1),1.32 (MODERATE reliability),1.32,1.59 (GOOD reliability),1.59,1.25 (GOOD reliability),1.25
184,Molecule 184,O=S(=O)(Nc1nc2ccccc2(nc1))c3ccc(N)cc3,1.68 (EXPERIMENTAL value),1.69,1.68 (EXPERIMENTAL value),1.43,1.68 (EXPERIMENTAL value),2.09
185,Molecule 185,Oc1cccc(c1)C(O)CNC,-0.31 (EXPERIMENTAL value),-0.21,-0.31 (EXPERIMENTAL value),0.79,-0.31 (EXPERIMENTAL value),0.59
186,Molecule 186,O=C(OCCN(CC)CC)c1ccc(N)cc1,2.14 (EXPERIMENTAL value),1.99,2.14 (EXPERIMENTAL value),2.12,2.14 (EXPERIMENTAL value),1.78
187,Molecule 187,OCC(O)COc1ccccc1C,1.41 (EXPERIMENTAL value),1.01,1.41 (EXPERIMENTAL value),1.1,1.41 (EXPERIMENTAL value),1.25
188,Molecule 188,O=C2Nc1ccccc1C2,0.82 (LOW reliability),0.82,1.36 (GOOD reliability),1.36,0.82 (GOOD reliability),0.82
189,Molecule 189,O=C1Oc2ccccc2(N1),1.2 (GOOD reliability),1.2,1.41 (MODERATE reliability),1.41,1.34 (GOOD reliability),1.34
190,Molecule 190,Oc1ccc(c(c1)C)Cl,3.1 (EXPERIMENTAL value),2.7,3.1 (EXPERIMENTAL value),2.46,3.1 (EXPERIMENTAL value),2.71
191,Molecule 191,OC(c1ccc(c(c1)Cl)Cl)CNC(C)C,3.32 (EXPERIMENTAL value),2.46,3.32 (EXPERIMENTAL value),3.04,3.32 (EXPERIMENTAL value),2.91
192,Molecule 192,O=C(NNCc1ccccc1)c2noc(c2)C,1.49 (EXPERIMENTAL value),1.65,1.49 (EXPERIMENTAL value),1.45,1.49 (EXPERIMENTAL value),1.51
193,Molecule 193,O=C(Nc1nnc(s1)S(=O)(=O)N)C,-0.26 (EXPERIMENTAL value),-2.34,-0.26 (EXPERIMENTAL value),-1.58,-0.26 (EXPERIMENTAL value),-1.21
194,Molecule 194,O=C(O)c1cnccc1,0.36 (EXPERIMENTAL value),0.69,0.36 (EXPERIMENTAL value),0.12,0.36 (EXPERIMENTAL value),0.28
195,Molecule 195,O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-],0.23 (EXPERIMENTAL value),-0.69,0.23 (EXPERIMENTAL value),-0.12,0.23 (EXPERIMENTAL value),0.09
196,Molecule 196,O=NN1CCOCC1,-0.44 (EXPERIMENTAL value),-1.03,-0.44 (EXPERIMENTAL value),-0.64,-0.44 (EXPERIMENTAL value),-0.22
197,Molecule 197,O=C(O)C(N)Cc1ccc(O)c(O)c1,-2.57 (EXPERIMENTAL value),-2.47,-2.57 (EXPERIMENTAL value),0.19,-2.57 (EXPERIMENTAL value),0.42
198,Molecule 198,N1=C(NCC1)Cc2ccccc2,2.65 (EXPERIMENTAL value),2.72,2.65 (EXPERIMENTAL value),1.59,2.65 (EXPERIMENTAL value),1.15
199,Molecule 199,N(=Nc1ccc(N)cc1)c2ccccc2,3.41 (EXPERIMENTAL value),3.55,3.41 (EXPERIMENTAL value),2.68,3.41 (EXPERIMENTAL value),3.45
200,Molecule 200,N(=Nc1ccc(cc1)N(C)C)c2ccccc2,4.58 (EXPERIMENTAL value),4.64,4.58 (EXPERIMENTAL value),3.21,4.58 (EXPERIMENTAL value),4.36
201,Molecule 201,OCCc1ccccc1,1.36 (EXPERIMENTAL value),1.57,1.36 (EXPERIMENTAL value),1.92,1.36 (EXPERIMENTAL value),1.55
202,Molecule 202,O=C(O)C(N)Cc1ccc(F)cc1,-1.89 (EXPERIMENTAL value),-1.3,-1.89 (EXPERIMENTAL value),1.67,-1.89 (EXPERIMENTAL value),1.16
203,Molecule 203,O=C(O)C(N)Cc1ccc(O)cc1,-2.15 (EXPERIMENTAL value),-1.99,-2.15 (EXPERIMENTAL value),0.71,-2.15 (EXPERIMENTAL value),0.69
204,Molecule 204,O=C1NC(=N)N(C)C1,-1.21 (LOW reliability),-1.21,-0.74 (MODERATE reliability),-0.74,-0.82 (MODERATE reliability),-0.82
205,Molecule 205,O(CC)CC,0.89 (EXPERIMENTAL value),1.05,0.89 (EXPERIMENTAL value),0.8,0.89 (EXPERIMENTAL value),0.75
206,Molecule 206,O=C(O)CCCCCN,-2.95 (EXPERIMENTAL value),-2.62,-2.95 (EXPERIMENTAL value),0.54,-2.95 (EXPERIMENTAL value),0.29
207,Molecule 207,O=C(O)CCCCCCCC=CCC=CCCCCC,7.05 (EXPERIMENTAL value),7.51,7.05 (EXPERIMENTAL value),4.57,7.05 (EXPERIMENTAL value),6.39
208,Molecule 208,NNC,-1.05 (EXPERIMENTAL value),-2.13,-1.05 (EXPERIMENTAL value),-0.88,-1.05 (EXPERIMENTAL value),-0.6
209,Molecule 209,O=C(N)C,-1.26 (EXPERIMENTAL value),-1.16,-1.26 (EXPERIMENTAL value),-0.79,-1.26 (EXPERIMENTAL value),-0.83
210,Molecule 210,O=C(NC)CSP(OC)(OC)=S,0.78 (EXPERIMENTAL value),0.94,0.78 (EXPERIMENTAL value),-0.76,0.78 (EXPERIMENTAL value),0.57
211,Molecule 211,O=C(N)C=3C(=O)C4(O)(C(O)=C2C(=O)c1c(O)cccc1C(O)(C)C2CC4(C(C=3(O))N(C)C)),-3.95 (LOW reliability),-3.95,-1.65 (LOW reliability),-1.65,-1.11 (LOW reliability),-1.11
212,Molecule 212,C1=CN(C(N1)=S)C,-0.49 (GOOD reliability),-0.49,-0.32 (GOOD reliability),-0.32,-0.3 (MODERATE reliability),-0.3
213,Molecule 213,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",[Error],-,[Error],-,[Error],-
214,Molecule 214,O=C1C=C(N(N1c2ccccc2)C)C,0.38 (EXPERIMENTAL value),2.04,0.38 (EXPERIMENTAL value),1.77,0.38 (EXPERIMENTAL value),1.61
215,Molecule 215,c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C,4.81 (EXPERIMENTAL value),4.47,4.81 (EXPERIMENTAL value),3.26,4.81 (EXPERIMENTAL value),4.39
216,Molecule 216,O=P3(O)(OCC4OC(n2cnc1c(ncnc12)N)C(O)C4(O3)),-2.96 (EXPERIMENTAL value),-3.59,-2.96 (EXPERIMENTAL value),-0.34,-2.96 (EXPERIMENTAL value),-2.06
217,Molecule 217,O(c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C)C,4.68 (EXPERIMENTAL value),5.04,4.68 (EXPERIMENTAL value),3.16,4.68 (EXPERIMENTAL value),4.51
218,Molecule 218,O(c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C)C,4.9 (EXPERIMENTAL value),4.63,4.9 (EXPERIMENTAL value),2.93,4.9 (EXPERIMENTAL value),4.06
219,Molecule 219,O=C(O)C3N2C(=O)C(NC(=O)c1c(OC)cccc1(OC))C2SC3(C)(C),1.22 (EXPERIMENTAL value),2.18,1.22 (EXPERIMENTAL value),1.36,1.22 (EXPERIMENTAL value),1.24
220,Molecule 220,O=C(O)C3N2C(=O)C(NC(=O)Cc1ccccc1)C2SC3(C)(C),1.83 (EXPERIMENTAL value),1.61,1.83 (EXPERIMENTAL value),1.82,1.83 (EXPERIMENTAL value),1.31
221,Molecule 221,NCCc2c[nH]c1ccccc12,1.55 (EXPERIMENTAL value),1.62,1.55 (EXPERIMENTAL value),1.49,1.55 (EXPERIMENTAL value),1.55
222,Molecule 222,O=C1NCCN1c2ncc([N+](=O)[O-])s2,0.95 (EXPERIMENTAL value),0.42,0.95 (EXPERIMENTAL value),-0.1,0.95 (EXPERIMENTAL value),-0.01
223,Molecule 223,O=C(O)c2ccccc2(Nc1cccc(c1C)C),5.12 (EXPERIMENTAL value),4.27,5.12 (EXPERIMENTAL value),3.47,5.12 (EXPERIMENTAL value),3.96
224,Molecule 224,O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2Cl)C3SC4(C)(C),2.48 (EXPERIMENTAL value),3.53,2.48 (EXPERIMENTAL value),2.44,2.48 (EXPERIMENTAL value),2.46
225,Molecule 225,Cl.CNC[C@H](O)c1cc(O)ccc1,[Error],-,[Error],-,[Error],-
226,Molecule 226,O=C(O)CNC(=O)c1ccc(N)cc1,-0.89 (EXPERIMENTAL value),-0.46,-0.89 (EXPERIMENTAL value),0.51,-0.89 (EXPERIMENTAL value),-0.04
227,Molecule 227,n1c(oc2ccc(cc12)Cl)N,2.46 (EXPERIMENTAL value),1.45,2.46 (EXPERIMENTAL value),1.79,2.46 (EXPERIMENTAL value),1.82
228,Molecule 228,n1c[nH]nc1N,-0.86 (EXPERIMENTAL value),-1.68,-0.86 (EXPERIMENTAL value),-0.23,-0.86 (EXPERIMENTAL value),-0.64
229,Molecule 229,O=C(O)C(N)CC(C)C,-1.52 (EXPERIMENTAL value),-1.59,-1.52 (EXPERIMENTAL value),0.54,-1.52 (EXPERIMENTAL value),0.63
230,Molecule 230,O=C(O)c1ccc(cc1)[N+](=O)[O-],1.89 (EXPERIMENTAL value),1.69,1.89 (EXPERIMENTAL value),1.55,1.89 (EXPERIMENTAL value),1.33
231,Molecule 231,O=C(Nc1ccc(OCC)cc1)C,1.58 (EXPERIMENTAL value),1.67,1.58 (EXPERIMENTAL value),1.68,1.58 (EXPERIMENTAL value),1.28
232,Molecule 232,Nc1ccccc1,0.9 (EXPERIMENTAL value),1.08,0.9 (EXPERIMENTAL value),1.51,0.9 (EXPERIMENTAL value),1.08
233,Molecule 233,NC(C)=S,-0.83 (MODERATE reliability),-0.83,-0.32 (MODERATE reliability),-0.32,0.07 (MODERATE reliability),0.07
234,Molecule 234,NC(N)=S,-1.08 (EXPERIMENTAL value),-1.31,-1.08 (EXPERIMENTAL value),-1.43,-1.08 (EXPERIMENTAL value),-0.14
235,Molecule 235,Oc5ccc4c1c5(OC2C(O)C=CC3C(N(CC=C)CCC123)C4),1.86 (EXPERIMENTAL value),2.59,1.86 (EXPERIMENTAL value),2.05,1.86 (EXPERIMENTAL value),2
236,Molecule 236,O=P(OC=C(Cl)Cl)(OC)OC,1.47 (EXPERIMENTAL value),0.6,1.47 (EXPERIMENTAL value),1.25,1.47 (EXPERIMENTAL value),0.47
237,Molecule 237,O=NN(C)C,-0.57 (EXPERIMENTAL value),-0.64,-0.57 (EXPERIMENTAL value),-0.41,-0.57 (EXPERIMENTAL value),0.09
238,Molecule 238,O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3),2.75 (EXPERIMENTAL value),2.81,2.75 (EXPERIMENTAL value),3.6,2.75 (EXPERIMENTAL value),3.29
239,Molecule 239,O=C(Oc1cccc2ccccc12)NC,2.36 (EXPERIMENTAL value),2.35,2.36 (EXPERIMENTAL value),3.03,2.36 (EXPERIMENTAL value),2.5
240,Molecule 240,O=C(O)C(N)CCSC,-1.87 (EXPERIMENTAL value),-2.41,-1.87 (EXPERIMENTAL value),0.16,-1.87 (EXPERIMENTAL value),-0.27
241,Molecule 241,O=S(=O)(N)c1ccc(N)cc1,-0.62 (EXPERIMENTAL value),-0.55,-0.62 (EXPERIMENTAL value),0.29,-0.62 (EXPERIMENTAL value),-0.09
242,Molecule 242,O=C(OC)C1=CCCN(C)C1,0.35 (EXPERIMENTAL value),0.78,0.35 (EXPERIMENTAL value),0.72,0.35 (EXPERIMENTAL value),0.74
243,Molecule 243,O=C(O)C(N)Cc1ccccc1,-1.41 (EXPERIMENTAL value),-1.51,-1.41 (EXPERIMENTAL value),1.25,-1.41 (EXPERIMENTAL value),0.96
244,Molecule 244,O=C(N)NC(=O)Cc1ccccc1,0.87 (EXPERIMENTAL value),-0.13,0.87 (EXPERIMENTAL value),1.17,0.87 (EXPERIMENTAL value),0.65
245,Molecule 245,O=C(N)Nc1cccc(c1)C,1.29 (EXPERIMENTAL value),1.25,1.29 (EXPERIMENTAL value),1.6,1.29 (EXPERIMENTAL value),1.23
246,Molecule 246,O=C(Oc1cccc(c1)C(C)C)NC,2.63 (EXPERIMENTAL value),2.63,2.63 (EXPERIMENTAL value),2.92,2.63 (EXPERIMENTAL value),2.79
247,Molecule 247,NCCc1ccccc1,1.41 (EXPERIMENTAL value),1.34,1.41 (EXPERIMENTAL value),1.92,1.41 (EXPERIMENTAL value),1.26
248,Molecule 248,O=C(N)Nc1ccccc1,0.83 (EXPERIMENTAL value),0.71,0.83 (EXPERIMENTAL value),1.27,0.83 (EXPERIMENTAL value),0.74
249,Molecule 249,O(c1ccc(cc1)CC(N)C)C,1.77 (EXPERIMENTAL value),1.84,1.77 (EXPERIMENTAL value),1.93,1.77 (EXPERIMENTAL value),1.62
250,Molecule 250,OCC,-0.31 (EXPERIMENTAL value),-0.14,-0.31 (EXPERIMENTAL value),-0.17,-0.31 (EXPERIMENTAL value),-0.01
251,Molecule 251,O=CO,-0.54 (EXPERIMENTAL value),-1.18,-0.54 (EXPERIMENTAL value),-1.43,-0.54 (EXPERIMENTAL value),-0.52
252,Molecule 252,O=C(O)C,-0.17 (EXPERIMENTAL value),0.09,-0.17 (EXPERIMENTAL value),-0.39,-0.17 (EXPERIMENTAL value),-0.23
253,Molecule 253,O=C(OC2(c1ccccc1)(CC(N(C)CC2(C))C))CC,3.13 (EXPERIMENTAL value),3.86,3.13 (EXPERIMENTAL value),3.01,3.13 (EXPERIMENTAL value),3.06
254,Molecule 254,O=S(=O)(OCC)OCC,1.14 (LOW reliability),1.14,0.46 (MODERATE reliability),0.46,0.17 (LOW reliability),0.17
255,Molecule 255,O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C,2.34 (EXPERIMENTAL value),2.41,2.34 (EXPERIMENTAL value),2.25,2.34 (EXPERIMENTAL value),2.34
256,Molecule 256,O=C4C=C3CCC1C(CCC2(C)(C(C(=O)CO)CCC12))C3(C)CC4,2.88 (EXPERIMENTAL value),2.26,2.88 (EXPERIMENTAL value),3.21,2.88 (EXPERIMENTAL value),3.12
257,Molecule 257,O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C),1.3 (EXPERIMENTAL value),2.14,1.3 (EXPERIMENTAL value),1.1,1.3 (EXPERIMENTAL value),1.72
258,Molecule 258,Oc1c(ncc(c1CO)CO)C,-0.77 (EXPERIMENTAL value),-0.56,-0.77 (EXPERIMENTAL value),-0.72,-0.77 (EXPERIMENTAL value),-0.51
259,Molecule 259,O=C(N)c1ccccc1(O),1.28 (EXPERIMENTAL value),1.03,1.28 (EXPERIMENTAL value),0.73,1.28 (EXPERIMENTAL value),0.56
260,Molecule 260,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O),-2.51 (EXPERIMENTAL value),-0.89,-2.51 (EXPERIMENTAL value),-1.71,-2.51 (EXPERIMENTAL value),-2.4
